customer_id,churn_flag,churn_date,churn_reason
CUST00001,0,,Not Churned
CUST00002,0,,Not Churned
CUST00003,0,,Not Churned
CUST00004,0,,Not Churned
CUST00005,1,2026-07-25,Not Using Product
CUST00006,0,,Not Churned
CUST00007,0,,Not Churned
CUST00008,0,,Not Churned
CUST00009,0,,Not Churned
CUST00010,1,2026-01-08,Technical Issues
CUST00011,0,,Not Churned
CUST00012,1,2026-02-15,Competitor
CUST00013,1,2026-07-15,Other
CUST00014,0,,Not Churned
CUST00015,0,,Not Churned
CUST00016,0,,Not Churned
CUST00017,0,,Not Churned
CUST00018,1,2026-04-03,Technical Issues
CUST00019,0,,Not Churned
CUST00020,1,2026-06-25,Other
CUST00021,0,,Not Churned
CUST00022,1,2026-05-31,Competitor
CUST00023,0,,Not Churned
CUST00024,1,2026-07-19,Customer Support
CUST00025,1,2026-08-19,High Price
CUST00026,1,2026-08-27,Poor Service
CUST00027,0,,Not Churned
CUST00028,1,2026-01-11,Not Using Product
CUST00029,0,,Not Churned
CUST00030,1,2026-06-06,Customer Support
CUST00031,0,,Not Churned
CUST00032,1,2026-06-15,Poor Service
CUST00033,0,,Not Churned
CUST00034,0,,Not Churned
CUST00035,0,,Not Churned
CUST00036,1,2026-05-05,Other
CUST00037,0,,Not Churned
CUST00038,1,2026-03-01,Other
CUST00039,0,,Not Churned
CUST00040,0,,Not Churned
CUST00041,1,2026-08-02,Customer Support
CUST00042,0,,Not Churned
CUST00043,0,,Not Churned
CUST00044,0,,Not Churned
CUST00045,1,2026-02-15,Competitor
CUST00046,0,,Not Churned
CUST00047,0,,Not Churned
CUST00048,0,,Not Churned
CUST00049,0,,Not Churned
CUST00050,0,,Not Churned
CUST00051,0,,Not Churned
CUST00052,1,2026-04-11,High Price
CUST00053,0,,Not Churned
CUST00054,0,,Not Churned
CUST00055,0,,Not Churned
CUST00056,0,,Not Churned
CUST00057,0,,Not Churned
CUST00058,0,,Not Churned
CUST00059,0,,Not Churned
CUST00060,0,,Not Churned
CUST00061,0,,Not Churned
CUST00062,1,2026-01-14,Poor Service
CUST00063,0,,Not Churned
CUST00064,0,,Not Churned
CUST00065,0,,Not Churned
CUST00066,0,,Not Churned
CUST00067,0,,Not Churned
CUST00068,0,,Not Churned
CUST00069,0,,Not Churned
CUST00070,0,,Not Churned
CUST00071,1,2026-01-27,High Price
CUST00072,0,,Not Churned
CUST00073,1,2026-06-05,Other
CUST00074,0,,Not Churned
CUST00075,0,,Not Churned
CUST00076,0,,Not Churned
CUST00077,0,,Not Churned
CUST00078,0,,Not Churned
CUST00079,0,,Not Churned
CUST00080,1,2026-08-24,Other
CUST00081,0,,Not Churned
CUST00082,0,,Not Churned
CUST00083,0,,Not Churned
CUST00084,1,2026-03-01,Customer Support
CUST00085,0,,Not Churned
CUST00086,0,,Not Churned
CUST00087,0,,Not Churned
CUST00088,0,,Not Churned
CUST00089,1,2026-07-07,Poor Service
CUST00090,0,,Not Churned
CUST00091,0,,Not Churned
CUST00092,0,,Not Churned
CUST00093,0,,Not Churned
CUST00094,1,2026-03-26,Competitor
CUST00095,0,,Not Churned
CUST00096,0,,Not Churned
CUST00097,1,2026-04-10,Poor Service
CUST00098,1,2026-04-18,Customer Support
CUST00099,0,,Not Churned
CUST00100,0,,Not Churned
CUST00101,1,2026-03-27,Other
CUST00102,0,,Not Churned
CUST00103,1,2026-08-05,Technical Issues
CUST00104,0,,Not Churned
CUST00105,0,,Not Churned
CUST00106,0,,Not Churned
CUST00107,0,,Not Churned
CUST00108,1,2026-03-17,Competitor
CUST00109,0,,Not Churned
CUST00110,0,,Not Churned
CUST00111,0,,Not Churned
CUST00112,0,,Not Churned
CUST00113,0,,Not Churned
CUST00114,0,,Not Churned
CUST00115,1,2026-06-11,Poor Service
CUST00116,1,2026-04-08,Not Using Product
CUST00117,0,,Not Churned
CUST00118,0,,Not Churned
CUST00119,0,,Not Churned
