customer_id,gender,age,city,customer_segment,signup_date,contract_type,payment_method,monthly_charge,login_count,support_tickets,avg_session_minutes,monthly_usage,last_login_date,tenure_months
CUST00001,Male,69,Pune,Premium,2022-10-14,Monthly,Debit Card,4174.69,8,1,85.0,41.6,2026-07-16,47
CUST00002,Female,61,Mumbai,Premium,2023-05-07,Monthly,Net Banking,541.16,8,2,17.5,35.5,2026-01-25,40
CUST00003,Female,43,Bengaluru,Basic,2021-02-12,Monthly,Debit Card,3508.79,9,2,77.0,15.9,2026-03-09,67
CUST00004,Male,33,Chennai,Standard,2022-11-12,Annual,UPI,3618.34,7,2,15.7,115.1,2025-01-06,46
CUST00005,Male,37,Mumbai,Standard,2021-09-21,Monthly,Debit Card,3972.64,11,0,19.9,16.3,2026-03-07,60
CUST00006,Female,65,Hyderabad,Basic,2021-10-06,Annual,Net Banking,2406.16,9,4,25.7,32.1,2026-08-21,59
CUST00007,Male,50,Mumbai,Basic,2021-02-20,Annual,Credit Card,4719.98,10,0,14.2,83.1,2025-12-04,67
CUST00008,Female,66,Bengaluru,Standard,2022-09-08,Monthly,Net Banking,4282.28,15,6,69.3,32.0,2025-02-23,48
CUST00009,Female,39,Mumbai,Standard,2023-04-13,Monthly,UPI,3024.27,15,0,72.2,43.7,2025-03-07,41
CUST00010,Female,33,Delhi,Basic,2023-08-19,Annual,Credit Card,1008.12,12,0,68.5,43.6,2026-04-19,36
CUST00011,Male,28,Mumbai,Basic,2022-04-19,Monthly,Net Banking,3440.84,13,0,63.9,111.1,2025-09-07,53
CUST00012,Male,18,Chennai,Premium,2023-07-21,Annual,Net Banking,2196.26,15,1,5.7,98.9,2026-05-07,37
CUST00013,Female,40,Chennai,Premium,2022-02-15,Monthly,Auto Pay,3964.49,8,0,60.2,29.9,2026-03-16,55
CUST00014,Female,69,Kolkata,Basic,2025-05-17,Monthly,Net Banking,2304.8,12,2,25.3,84.5,2026-06-26,15
CUST00015,Male,34,Hyderabad,Standard,2022-06-13,Annual,UPI,2654.7,13,3,48.4,119.9,2026-03-02,51
CUST00016,Male,51,Delhi,Standard,2023-11-12,Monthly,Auto Pay,4508.36,9,6,44.8,95.6,2026-06-12,34
CUST00017,Female,64,Kolkata,Standard,2025-01-23,Annual,Credit Card,4988.55,8,1,70.7,4.8,2025-01-20,19
CUST00018,Male,64,Pune,Standard,2024-07-18,Monthly,Net Banking,2025.34,15,1,9.6,82.2,2025-01-06,25
CUST00019,Female,30,Hyderabad,Standard,2025-03-24,Annual,Credit Card,3584.1,16,0,43.9,20.5,2025-04-26,17
CUST00020,Female,25,Bengaluru,Basic,2022-07-24,Monthly,UPI,4004.86,11,1,8.5,28.0,2026-07-21,49
CUST00021,Female,57,Kolkata,Standard,2024-10-21,Annual,UPI,2158.19,11,2,33.3,45.1,2025-11-12,22
CUST00022,Female,66,Bengaluru,Standard,2025-04-25,Quarterly,UPI,1517.91,17,4,31.2,83.5,2025-09-10,16
CUST00023,Female,41,Delhi,Standard,2023-08-22,Monthly,Net Banking,1828.66,9,3,88.7,105.1,2025-01-22,36
CUST00024,Male,36,Mumbai,Basic,2025-04-03,Monthly,Credit Card,2208.22,15,1,60.2,79.8,2025-12-12,17
CUST00025,Female,56,Kolkata,Basic,2023-08-13,Annual,UPI,4255.12,5,3,5.8,54.5,2025-03-16,37
CUST00026,Male,43,Mumbai,Premium,2023-10-17,Monthly,UPI,2539.83,8,2,22.7,89.5,2025-04-03,34
CUST00027,Female,39,Hyderabad,Standard,2024-08-20,Monthly,Net Banking,2979.52,11,1,55.7,27.5,2025-09-16,24
