customer_id,contract_type,monthly_charge,payment_method,start_date,end_date,subscription_type
CUST00001,Monthly,4174.69,Debit Card,2022-10-14,,Premium Plan
CUST00002,Monthly,541.16,Net Banking,2023-05-07,,Premium Plan
CUST00003,Monthly,3508.79,Debit Card,2021-02-12,,Basic Plan
CUST00004,Annual,3618.34,UPI,2022-11-12,,Standard Plan
CUST00005,Monthly,3972.64,Debit Card,2021-09-21,2026-07-25,Standard Plan
CUST00006,Annual,2406.16,Net Banking,2021-10-06,,Basic Plan
CUST00007,Annual,4719.98,Credit Card,2021-02-20,,Basic Plan
CUST00008,Monthly,4282.28,Net Banking,2022-09-08,,Standard Plan
CUST00009,Monthly,3024.27,UPI,2023-04-13,,Standard Plan
CUST00010,Annual,1008.12,Credit Card,2023-08-19,2026-01-08,Basic Plan
CUST00011,Monthly,3440.84,Net Banking,2022-04-19,,Basic Plan
CUST00012,Annual,2196.26,Net Banking,2023-07-21,2026-02-15,Premium Plan
CUST00013,Monthly,3964.49,Auto Pay,2022-02-15,2026-07-15,Premium Plan
CUST00014,Monthly,2304.8,Net Banking,2025-05-17,,Basic Plan
CUST00015,Annual,2654.7,UPI,2022-06-13,,Standard Plan
CUST00016,Monthly,4508.36,Auto Pay,2023-11-12,,Standard Plan
CUST00017,Annual,4988.55,Credit Card,2025-01-23,,Standard Plan
CUST00018,Monthly,2025.34,Net Banking,2024-07-18,2026-04-03,Standard Plan
CUST00019,Annual,3584.1,Credit Card,2025-03-24,,Standard Plan
CUST00020,Monthly,4004.86,UPI,2022-07-24,2026-06-25,Basic Plan
CUST00021,Annual,2158.19,UPI,2024-10-21,,Standard Plan
CUST00022,Quarterly,1517.91,UPI,2025-04-25,2026-05-31,Standard Plan
CUST00023,Monthly,1828.66,Net Banking,2023-08-22,,Standard Plan
CUST00024,Monthly,2208.22,Credit Card,2025-04-03,2026-07-19,Basic Plan
CUST00025,Annual,4255.12,UPI,2023-08-13,2026-08-19,Basic Plan
CUST00026,Monthly,2539.83,UPI,2023-10-17,2026-08-27,Premium Plan
CUST00027,Monthly,2979.52,Net Banking,2024-08-20,,Standard Plan
CUST00028,Monthly,938.18,Debit Card,2024-06-07,2026-01-11,Standard Plan
CUST00029,Quarterly,1026.87,Credit Card,2025-11-14,,Standard Plan
CUST00030,Monthly,1373.48,Debit Card,2025-03-21,2026-06-06,Standard Plan
CUST00031,Quarterly,1584.94,Credit Card,2022-10-23,,Basic Plan
CUST00032,Monthly,4663.92,Debit Card,2025-07-13,2026-06-15,Basic Plan
CUST00033,Monthly,3006.96,UPI,2021-05-08,,Premium Plan
CUST00034,Quarterly,3130.64,Auto Pay,2022-04-10,,Basic Plan
CUST00035,Monthly,4838.97,Net Banking,2021-09-16,,Basic Plan
CUST00036,Monthly,1646.01,Debit Card,2022-12-31,2026-05-05,Standard Plan
CUST00037,Annual,3015.4,Debit Card,2022-03-19,,Standard Plan
CUST00038,Annual,4268.13,Debit Card,2023-08-26,2026-03-01,Standard Plan
CUST00039,Monthly,2488.55,Debit Card,2021-08-10,,Basic Plan
CUST00040,Monthly,3226.87,Net Banking,2023-09-26,,Standard Plan
CUST00041,Monthly,2822.49,Net Banking,2023-12-25,2026-08-02,Standard Plan
CUST00042,Monthly,459.6,Net Banking,2023-02-02,,Standard Plan
CUST00043,Monthly,1434.33,Net Banking,2021-08-26,,Standard Plan
CUST00044,Monthly,4584.03,Credit Card,2024-06-26,,Basic Plan
CUST00045,Monthly,524.65,Auto Pay,2024-03-25,2026-02-15,Basic Plan
CUST00046,Annual,2353.69,Credit Card,2023-11-28,,Basic Plan
CUST00047,Annual,4990.89,Credit Card,2022-11-08,,Basic Plan
CUST00048,Monthly,2331.07,Debit Card,2023-03-09,,Basic Plan
CUST00049,Monthly,413.91,UPI,2025-10-11,,Standard Plan
CUST00050,Monthly,2371.89,Debit Card,2022-02-21,,Basic Plan
CUST00051,Monthly,4923.52,Net Banking,2023-08-22,,Standard Plan
CUST00052,Quarterly,1378.57,Credit Card,2023-12-31,2026-04-11,Standard Plan
CUST00053,Monthly,861.93,Debit Card,2024-08-07,,Basic Plan
CUST00054,Monthly,3744.72,Credit Card,2025-10-14,,Basic Plan
CUST00055,Monthly,810.31,UPI,2024-08-10,,Basic Plan
CUST00056,Annual,1709.15,Credit Card,2023-02-26,,Standard Plan
CUST00057,Annual,733.8,Debit Card,2022-09-02,,Basic Plan
CUST00058,Annual,820.46,UPI,2021-08-16,,Basic Plan
CUST00059,Monthly,3259.38,Debit Card,2024-04-13,,Basic Plan
CUST00060,Quarterly,4301.88,Debit Card,2024-11-22,,Standard Plan
CUST00061,Monthly,4310.63,Net Banking,2021-05-06,,Standard Plan
CUST00062,Monthly,3497.29,Debit Card,2022-05-10,2026-01-14,Basic Plan
CUST00063,Quarterly,3981.04,UPI,2022-09-21,,Basic Plan
CUST00064,Monthly,1158.02,Auto Pay,2024-04-25,,Standard Plan
CUST00065,Monthly,1330.76,Net Banking,2021-11-21,,Standard Plan
CUST00066,Quarterly,1307.52,UPI,2025-04-25,,Standard Plan
CUST00067,Monthly,4414.54,Net Banking,2021-06-05,,Standard Plan
CUST00068,Monthly,1967.89,Auto Pay,2023-06-01,,Basic Plan
CUST00069,Monthly,1185.34,Auto Pay,2024-09-06,,Basic Plan
CUST00070,Monthly,570.34,Auto Pay,2022-03-14,,Standard Plan
CUST00071,Monthly,4903.84,UPI,2022-04-24,2026-01-27,Premium Plan
CUST00072,Annual,2329.32,Net Banking,2023-02-28,,Basic Plan
CUST00073,Monthly,447.02,Debit Card,2021-08-29,2026-06-05,Premium Plan
CUST00074,Monthly,1216.6,Debit Card,2024-03-19,,Basic Plan
CUST00075,Quarterly,1878.32,Auto Pay,2025-05-29,,Premium Plan
CUST00076,Quarterly,1215.5,Credit Card,2023-11-10,,Standard Plan
CUST00077,Monthly,3103.21,Net Banking,2023-05-09,,Standard Plan
CUST00078,Quarterly,1270.75,Auto Pay,2022-10-06,,Basic Plan
CUST00079,Annual,1578.8,UPI,2021-05-28,,Standard Plan
CUST00080,Quarterly,2910.12,Credit Card,2023-01-31,2026-08-24,Standard Plan
CUST00081,Annual,4886.54,Auto Pay,2021-10-11,,Standard Plan
CUST00082,Annual,3858.97,Auto Pay,2024-05-18,,Basic Plan
CUST00083,Quarterly,2081.06,Net Banking,2024-11-19,,Basic Plan
CUST00084,Monthly,1280.94,Credit Card,2025-06-05,2026-03-01,Basic Plan
CUST00085,Quarterly,2345.3,UPI,2024-11-17,,Standard Plan
CUST00086,Quarterly,1794.6,Net Banking,2022-10-03,,Standard Plan
CUST00087,Quarterly,4660.72,UPI,2024-11-19,,Premium Plan
CUST00088,Annual,1506.09,Credit Card,2021-11-13,,Standard Plan
CUST00089,Monthly,3233.08,Auto Pay,2022-02-20,2026-07-07,Basic Plan
CUST00090,Monthly,2384.62,UPI,2024-04-04,,Standard Plan
CUST00091,Monthly,591.51,Auto Pay,2021-11-03,,Standard Plan
CUST00092,Annual,4096.63,Credit Card,2024-05-10,,Standard Plan
CUST00093,Monthly,1347.11,Debit Card,2024-04-20,,Basic Plan
CUST00094,Monthly,973.29,Auto Pay,2021-12-26,2026-03-26,Basic Plan
CUST00095,Annual,475.89,Credit Card,2021-12-02,,Standard Plan
CUST00096,Quarterly,2293.84,Debit Card,2024-09-12,,Premium Plan
CUST00097,Monthly,4509.36,UPI,2024-05-05,2026-04-10,Standard Plan
CUST00098,Monthly,4303.11,Debit Card,2025-02-05,2026-04-18,Premium Plan
CUST00099,Monthly,2252.42,Net Banking,2022-05-04,,Basic Plan
CUST00100,Monthly,2196.0,Credit Card,2022-04-02,,Basic Plan
CUST00101,Monthly,4306.58,Auto Pay,2024-07-08,2026-03-27,Basic Plan
CUST00102,Annual,3393.45,UPI,2024-01-07,,Basic Plan
CUST00103,Monthly,4386.64,Debit Card,2021-10-02,2026-08-05,Premium Plan
CUST00104,Annual,3286.34,Credit Card,2022-12-27,,Standard Plan
CUST00105,Monthly,3661.13,Auto Pay,2023-03-19,,Basic Plan
CUST00106,Annual,1878.73,Auto Pay,2025-02-18,,Standard Plan
CUST00107,Annual,3239.72,Credit Card,2021-01-04,,Standard Plan
CUST00108,Monthly,3139.67,UPI,2025-06-08,2026-03-17,Basic Plan
CUST00109,Monthly,3228.86,Debit Card,2024-12-30,,Basic Plan
CUST00110,Monthly,775.93,Debit Card,2021-12-11,,Basic Plan
CUST00111,Quarterly,4727.54,Net Banking,2021-02-06,,Standard Plan
CUST00112,Annual,4209.36,Auto Pay,2025-01-08,,Standard Plan
CUST00113,Quarterly,1903.4,Debit Card,2022-06-16,,Basic Plan
CUST00114,Monthly,3800.6,Debit Card,2025-03-17,,Standard Plan
CUST00115,Monthly,2038.1,Net Banking,2024-01-17,2026-06-11,Standard Plan
CUST00116,Monthly,4471.21,Debit Card,2025-09-21,2026-04-08,Basic Plan
CUST00117,Quarterly,3961.2,Net Banking,2023-05-14,,Basic Plan
CUST00118,Annual,1702.6,Debit Card,2021-06-16,,Basic Plan
CUST00119,Monthly,2476.74,UPI,2024-12-13,,Basic Plan
CUST00120,Monthly,2374.83,Auto Pay,2022-02-01,,Basic Plan
CUST00121,Annual,4839.88,Debit Card,2021-08-09,,Basic Plan
CUST00122,Monthly,4686.83,Credit Card,2023-10-17,2026-02-09,Basic Plan
CUST00123,Monthly,4453.17,Net Banking,2024-07-13,,Standard Plan
CUST00124,Monthly,4218.37,Auto Pay,2021-01-30,,Standard Plan
CUST00125,Annual,3737.35,UPI,2023-12-24,,Standard Plan
CUST00126,Monthly,635.16,UPI,2025-12-07,,Basic Plan
CUST00127,Monthly,4710.66,UPI,2025-06-23,,Standard Plan
CUST00128,Monthly,1159.98,UPI,2024-01-26,,Basic Plan
CUST00129,Annual,3198.62,UPI,2021-08-03,,Standard Plan
CUST00130,Annual,2272.31,Credit Card,2021-08-29,,Premium Plan
CUST00131,Monthly,2178.9,Net Banking,2025-10-08,,Standard Plan
CUST00132,Monthly,1698.01,Net Banking,2022-08-12,,Standard Plan
CUST00133,Monthly,1837.21,Debit Card,2022-05-28,,Basic Plan
CUST00134,Monthly,3448.49,UPI,2021-02-08,,Basic Plan
CUST00135,Monthly,507.29,Net Banking,2021-11-16,2026-05-12,Basic Plan
CUST00136,Annual,3231.13,Auto Pay,2021-06-25,,Basic Plan
